IATA,Airport name,Location served
ABE,Lehigh Valley International Airport,"Allentown, Pennsylvania, United States"
ACK,Nantucket Memorial Airport,"Nantucket, Massachusetts, United States"
ACY,Atlantic City International Airport,"Atlantic City, New Jersey, United States"
ALB,Albany International Airport,"Albany, New York, United States"
APN,Alpena County Regional Airport,"Alpena, Michigan, United States"
ART,Watertown International Airport,"Watertown, New York, United States"
AUG,Augusta State Airport,"Augusta, Maine, United States"
AVL,Asheville Regional Airport,"Asheville, North Carolina, United States"
AVP,Wilkes-Barre/Scranton International Airport,"Wilkes-Barre / Scranton, Pennsylvania, United States"
AZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo, Michigan, United States"
BDL,Bradley International Airport,"Windsor Locks / Hartford, Connecticut, United States"
BED,Laurence G. Hanscom Field,"Bedford, Massachusetts, United States"
BGM,Greater Binghamton Airport (Edwin A. Link Field),"Binghamton, New York, United States"
BGR,Bangor International Airport,"Bangor, Maine, United States"
BHB,Hancock County-Bar Harbor Airport,"Bar Harbor, Maine, United States"
BID,Block Island State Airport,"Block Island, Rhode Island, United States"
BOS,Logan International Airport,"Boston, Massachusetts, United States"
BTV,Burlington International Airport,"Burlington, Vermont, United States"
BUF,Buffalo Niagara International Airport,"Buffalo, New York, United States"
BWI,Baltimore/Washington International Thurgood Marshall Airport,"Baltimore–Washington metropolitan area, United States"
CAE,Columbia Metropolitan Airport,"Columbia, South Carolina, United States"
CAK,Akron-Canton Airport,"Akron / Canton, Ohio, United States"
CHO,Charlottesville–Albemarle Airport,"Charlottesville, Virginia, United States"
CHS,Charleston International Airport / Charleston Air Force Base,"Charleston, South Carolina, United States"
CIU,Chippewa County International Airport,"Sault Ste Marie, Michigan, United States"
CKB,North Central West Virginia Airport,"Clarksburg, West Virginia, United States"
CLE,Cleveland Hopkins International Airport,"Cleveland, Ohio, United States"
CLT,Charlotte Douglas International Airport,"Charlotte, North Carolina, United States"
CMH,John Glenn Columbus International Airport,"Columbus, Ohio, United States"
CMX,Houghton County Memorial Airport,"Hancock, Michigan, United States"
CRW,Yeager Airport,"Charleston, West Virginia, United States"
CVG,Cincinnati/Northern Kentucky International Airport,"Hebron (near Cincinnati/OH), Kentucky, United States"
DAY,Dayton International Airport,"Dayton, Ohio, United States"
DCA,Ronald Reagan Washington National Airport,"Arlington County (near Washington, D.C.), Virginia, United States"
DTW,Detroit Metropolitan Wayne County Airport,"Detroit, Michigan, United States"
DXR,Danbury Municipal Airport,"Danbury, Connecticut, United States"
ELM,Elmira/Corning Regional Airport,"Elmira / Corning, New York, United States"
ERI,Erie International Airport (Tom Ridge Field),"Erie, Pennsylvania, United States"
ESC,Delta County Airport,"Escanaba, Michigan, United States"
EWB,New Bedford Regional Airport,"New Bedford / Fall River, Massachusetts, United States"
EWN,Coastal Carolina Regional Airport,"New Bern, North Carolina, United States"
EWR,Newark Liberty International Airport,"Newark, New Jersey, United States"
FAY,Fayetteville Regional Airport (Grannis Field),"Fayetteville, North Carolina, United States"
FLO,Florence Regional Airport,"Florence, South Carolina, United States"
FNT,Bishop International Airport,"Flint, Michigan, United States"
GED,Delaware Coastal Airport,"Georgetown, Delaware, United States"
GRR,Gerald R. Ford International Airport,"Grand Rapids, Michigan, United States"
GSO,Piedmont Triad International Airport,"Greensboro, North Carolina, United States"
GSP,Greenville–Spartanburg International Airport,"Greenville / Spartanburg, South Carolina, United States"
HFD,Hartford–Brainard Airport,"Hartford, Connecticut, United States"
HGR,Hagerstown Regional Airport (Richard A. Henson Field),"Hagerstown, Maryland, United States"
HHH,Hilton Head Airport (FAA: HXD),"Hilton Head Island, South Carolina, United States"
HPN,Westchester County Airport,"White Plains, New York, United States"
HTS,Tri-State Airport (Milton J. Ferguson Field),"Huntington, West Virginia, United States"
HVN,Tweed New Haven Airport,"New Haven, Connecticut, United States"
HYA,Barnstable Municipal Airport (Boardman/Polando Field),"Hyannis, Massachusetts, United States"
IAD,Washington Dulles International Airport,"Washington, D.C.,1 United States"
IAG,Niagara Falls International Airport,"Niagara Falls, New York, United States"
ILG,Wilmington Airport (New Castle Airport),"Wilmington, Delaware, United States"
ILM,Wilmington International Airport,"Wilmington, North Carolina, United States"
IMT,Ford Airport,"Iron Mountain / Kingsford, Michigan, United States"
IPT,Williamsport Regional Airport,"Williamsport, Pennsylvania, United States"
ISP,Long Island MacArthur Airport,"Islip, New York, United States"
ITH,Ithaca Tompkins Regional Airport,"Ithaca, New York, United States"
JFK,John F. Kennedy International Airport,"New York City, New York, United States"
LAN,Capital Region International Airport,"Lansing, Michigan, United States"
LBE,Arnold Palmer Regional Airport,"Latrobe, Pennsylvania, United States"
LCK,Rickenbacker International Airport,"Columbus, Ohio, United States"
LEB,Lebanon Municipal Airport,"Lebanon / Hanover, New Hampshire, United States"
LEX,Blue Grass Airport,"Lexington, Kentucky, United States"
LGA,LaGuardia Airport,"New York City, New York, United States"
LWB,Greenbrier Valley Airport,"Lewisburg, West Virginia, United States"
LYH,Lynchburg Regional Airport (Preston Glenn Field),"Lynchburg, Virginia, United States"
MBS,MBS International Airport,"Saginaw / Midland / Bay City, Michigan, United States"
MDT,Harrisburg International Airport,"Harrisburg, Pennsylvania, United States"
MHT,Manchester–Boston Regional Airport,"Manchester, New Hampshire, United States"
MKG,Muskegon County Airport,"Muskegon, Michigan, United States"
MQT,Sawyer International Airport (FAA: SAW),"Marquette, Michigan, United States"
MVY,Martha's Vineyard Airport,"Vineyard Haven, Massachusetts, United States"
MYR,Myrtle Beach International Airport,"Myrtle Beach, South Carolina, United States"
NYC[1],metropolitan area2,"New York City, New York, United States"
OAJ,Albert J. Ellis Airport,"Jacksonville, North Carolina, United States"
OGS,Ogdensburg International Airport,"Ogdensburg, New York, United States"
ORF,Norfolk International Airport,"Norfolk, Virginia, United States"
ORH,Worcester Regional Airport,"Worcester, Massachusetts, United States"
OWB,Owensboro–Daviess County Airport,"Owensboro, Kentucky, United States"
OWD,Norwood Memorial Airport,"Norwood, Massachusetts, United States"
PAH,Barkley Regional Airport,"Paducah, Kentucky, United States"
PBG,Plattsburgh International Airport,"Plattsburgh, New York, United States"
PGV,Pitt–Greenville Airport,"Greenville, North Carolina, United States"
PHF,Newport News/Williamsburg International Airport,"Newport News / Williamsburg, Virginia, United States"
PHL,Philadelphia International Airport,"Philadelphia, Pennsylvania, United States"
PIT,Pittsburgh International Airport,"Pittsburgh, Pennsylvania, United States"
PLN,Pellston Regional Airport (Emmet County),"Pellston, Michigan, United States"
PQI,Northern Maine Regional Airport at Presque Isle,"Presque Isle, Maine, United States"
PSM,Portsmouth International Airport at Pease,"Portsmouth, New Hampshire, United States"
PVC,Provincetown Municipal Airport,"Provincetown, Massachusetts, United States"
PVD,Theodore Francis Green State Airport,"Providence, Rhode Island, United States"
PWM,Portland International Jetport,"Portland, Maine, United States"
RDU,Raleigh–Durham International Airport,"Raleigh / Durham, North Carolina, United States"
RIC,Richmond International Airport,"Richmond, Virginia, United States"
RKD,Knox County Regional Airport,"Rockland, Maine, United States"
ROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),"Roanoke, Virginia, United States"
ROC,Greater Rochester International Airport,"Rochester, New York, United States"
RUT,Rutland – Southern Vermont Regional Airport,"Rutland, Vermont, United States"
SBY,Salisbury–Ocean City–Wicomico Regional Airport,"Salisbury / Ocean City, Maryland, United States"
SCE,University Park Airport (FAA: UNV),"State College, Pennsylvania, United States"
SDF,Louisville International Airport (Standiford Field),"Louisville, Kentucky, United States"
SHD,Shenandoah Valley Regional Airport,"Staunton / Waynesboro / Harrisonburg, Virginia, United States"
SWF,Stewart International Airport,"Newburgh, New York, United States"
SYR,Syracuse Hancock International Airport,"Syracuse, New York, United States"
TOL,Toledo Express Airport,"Toledo, Ohio, United States"
TTN,Trenton–Mercer Airport,"Trenton, New Jersey, United States"
TVC,Cherry Capital Airport,"Traverse City, Michigan, United States"
USA,Concord Regional Airport (FAA: JQF),"Concord, North Carolina, United States"
WST,Westerly State Airport,"Westerly, Rhode Island, United States"
YFC,Fredericton International Airport,"Fredericton, New Brunswick, Canada"
YHZ,Halifax Stanfield International Airport,"Halifax, Nova Scotia, Canada"
YNG,Youngstown–Warren Regional Airport,"Youngstown / Warren, Ohio, United States"
YOW,Ottawa Macdonald–Cartier International Airport,"Ottawa, Ontario, Canada"
YQB,Québec City Jean Lesage International Airport,"Quebec City, Quebec, Canada"
YQM,Greater Moncton International Airport,"Moncton, New Brunswick, Canada"
YQX,Gander International Airport / CFB Gander,"Gander, Newfoundland and Labrador, Canada"
YTZ,Billy Bishop Toronto City Airport (Toronto Island Airport),"Toronto, Ontario, Canada"
